data;indice;valor
2012-06-08;IMOB;741.85
2012-06-08;INDX;9880.52
2012-06-08;UTIL;3287.64
2012-06-11;ICON;1878.00
2012-06-11;IFNC;3359.76
2012-06-11;IMAT;1562.89
2012-06-11;IMOB;740.49
2012-06-11;INDX;9835.24
2012-06-11;UTIL;3284.73
2012-06-12;ICON;1910.00
2012-06-12;IFNC;3420.10
2012-06-12;IMAT;1594.52
2012-06-12;IMOB;757.90
2012-06-12;INDX;9993.40
2012-06-12;UTIL;3353.72
2012-06-13;ICON;1912.00
2012-06-13;IFNC;3427.09
2012-06-13;IMAT;1609.81
2012-06-13;IMOB;771.76
2012-06-13;INDX;10044.91
2012-06-13;UTIL;3360.65
2012-06-14;ICON;1915.00
2012-06-14;IFNC;3424.20
2012-06-14;IMAT;1607.74
2012-06-14;IMOB;766.24
2012-06-14;INDX;10049.04
2012-06-14;UTIL;3349.06
2012-06-15;ICON;1917.00
2012-06-15;IFNC;3442.37
2012-06-15;IMAT;1632.91
2012-06-15;IMOB;782.46
2012-06-15;INDX;10108.26
2012-06-15;UTIL;3347.94
2012-06-18;ICON;1933.00
2012-06-18;IFNC;3449.68
2012-06-18;IMAT;1618.82
2012-06-18;IMOB;787.32
2012-06-18;INDX;10159.59
2012-06-18;UTIL;3358.52
2012-06-19;ICON;1969.00
2012-06-19;IFNC;3496.59
2012-06-19;IMAT;1639.95
2012-06-19;IMOB;796.66
2012-06-19;INDX;10307.86
2012-06-19;UTIL;3375.91
2012-06-20;ICON;1968.00
2012-06-20;IFNC;3473.00
2012-06-20;IMAT;1634.77
2012-06-20;IMOB;802.08
2012-06-20;INDX;10284.41
2012-06-20;UTIL;3368.15
2012-06-21;ICON;1919.00
2012-06-21;IFNC;3366.13
2012-06-21;IMAT;1580.68
2012-06-21;IMOB;780.96
2012-06-21;INDX;10000.59
2012-06-21;UTIL;3342.81
2012-06-22;ICON;1914.00
2012-06-22;IFNC;3350.55
2012-06-22;IMAT;1567.98
2012-06-22;IMOB;776.93
2012-06-22;INDX;9944.76
2012-06-22;UTIL;3308.52
2012-06-25;ICON;1902.00
2012-06-25;IFNC;3284.43
2012-06-25;IMAT;1537.16
2012-06-25;IMOB;756.98
2012-06-25;INDX;9832.70
2012-06-25;UTIL;3300.73
2012-06-26;ICON;1896.00
2012-06-26;IFNC;3262.53
2012-06-26;IMAT;1539.24
2012-06-26;IMOB;757.34
2012-06-26;INDX;9771.53
2012-06-26;UTIL;3345.22
2012-06-27;ICON;1889.00
2012-06-27;IFNC;3279.07
2012-06-27;IMAT;1537.26
2012-06-27;IMOB;757.16
2012-06-27;INDX;9758.40
2012-06-27;UTIL;3378.70
2012-06-28;ICON;1891.00
2012-06-28;IFNC;3270.07
2012-06-28;IMAT;1516.32
2012-06-28;IMOB;753.71
2012-06-28;INDX;9771.54
2012-06-28;UTIL;3410.45
2012-06-29;ICON;1934.00
2012-06-29;IFNC;3361.96
2012-06-29;IMAT;1599.03
2012-06-29;IMOB;769.55
2012-06-29;INDX;10081.35
2012-06-29;UTIL;3414.83
2012-07-02;ICON;1917.00
2012-07-02;IFNC;3352.72
2012-07-02;IMAT;1601.45
2012-07-02;IMOB;766.54
2012-07-02;INDX;9961.09
2012-07-02;UTIL;3421.19
2012-07-03;ICON;1953.00
2012-07-03;IFNC;3452.46
2012-07-03;IMAT;1632.69
2012-07-03;IMOB;792.42
2012-07-03;INDX;10005.42
2012-07-03;UTIL;3380.54
2012-07-04;ICON;1964.00
2012-07-04;IFNC;3459.29
2012-07-04;IMAT;1652.84
2012-07-04;IMOB;789.87
2012-07-04;INDX;10253.45
2012-07-04;UTIL;3385.51
2012-07-05;ICON;1950.00
2012-07-05;IFNC;3487.36
2012-07-05;IMAT;1661.60
2012-07-05;IMOB;781.63
2012-07-05;INDX;10200.37
2012-07-05;UTIL;3385.65
2012-07-06;ICON;1926.00
2012-07-06;IFNC;3454.49
2012-07-06;IMAT;1619.14
2012-07-06;IMOB;771.25
2012-07-06;INDX;10027.60
2012-07-06;UTIL;3365.84
2012-07-10;ICON;1891.00
2012-07-10;IFNC;3349.60
2012-07-10;IMAT;1558.79
2012-07-10;IMOB;749.88
2012-07-10;INDX;9754.94
2012-07-10;UTIL;3317.59
2012-07-11;ICON;1895.00
2012-07-11;IFNC;3348.49
2012-07-11;IMAT;1550.51
2012-07-11;IMOB;746.86
2012-07-11;INDX;9722.71
2012-07-11;UTIL;3297.11
2012-07-12;ICON;1886.00
2012-07-12;IFNC;3352.00
2012-07-12;IMAT;1548.68
2012-07-12;IMOB;736.15
2012-07-12;INDX;9675.62
2012-07-12;UTIL;3306.42
2012-07-13;ICON;1886.00
2012-07-13;IFNC;3402.34
2012-07-13;IMAT;1575.02
2012-07-13;IMOB;736.69
2012-07-13;INDX;9741.11
2012-07-13;UTIL;3314.24
2012-07-16;ICON;1879.00
2012-07-16;IFNC;3377.09
2012-07-16;IMAT;1536.04
2012-07-16;IMOB;732.21
2012-07-16;INDX;9595.56
2012-07-16;UTIL;3308.94
2012-07-17;ICON;1899.00
2012-07-17;IFNC;3376.29
2012-07-17;IMAT;1555.27
2012-07-17;IMOB;744.17
2012-07-17;INDX;9717.20
2012-07-17;UTIL;3356.51
2012-07-18;ICON;1912.00
2012-07-18;IFNC;3446.10
2012-07-18;IMAT;1579.34
2012-07-18;IMOB;757.65
2012-07-18;INDX;9869.38
2012-07-18;UTIL;3353.48
2012-07-19;ICON;1932.00
2012-07-19;IFNC;3495.68
2012-07-19;IMAT;1591.00
2012-07-19;IMOB;777.51
2012-07-19;INDX;9975.29
2012-07-19;UTIL;3361.52
2012-07-20;ICON;1906.00
2012-07-20;IFNC;3465.17
2012-07-20;IMAT;1546.06
2012-07-20;IMOB;765.24
2012-07-20;INDX;9788.93
2012-07-20;UTIL;3336.88
2012-07-23;ICON;1890.00
2012-07-23;IFNC;3368.33
2012-07-23;IMAT;1507.31
2012-07-23;IMOB;745.23
2012-07-23;INDX;9633.32
2012-07-23;UTIL;3329.30
2012-07-24;ICON;1872.00
2012-07-24;IFNC;3425.95
2012-07-24;IMAT;1481.27
2012-07-24;IMOB;743.11
2012-07-24;INDX;9542.69
2012-07-24;UTIL;3320.47
2012-07-25;ICON;1874.00
2012-07-25;IFNC;3428.95
2012-07-25;IMAT;1463.73
2012-07-25;IMOB;751.97
2012-07-25;INDX;9499.61
2012-07-25;UTIL;3340.12
2012-07-26;ICON;1926.00
2012-07-26;IFNC;3508.66
2012-07-26;IMAT;1504.07
2012-07-26;IMOB;766.91
2012-07-26;INDX;9813.33
2012-07-26;UTIL;3390.38
2012-07-27;ICON;1991.00
2012-07-27;IFNC;3652.52
2012-07-27;IMAT;1583.33
2012-07-27;IMOB;800.08
2012-07-27;INDX;10236.28
2012-07-27;UTIL;3461.41
2012-07-30;ICON;2001.00
2012-07-30;INDX;10138.30
2012-07-31;ICON;1975.00
2012-07-31;IFNC;3641.88
2012-07-31;IMAT;1604.45
2012-07-31;IMOB;794.77
2012-07-31;INDX;10191.21
2012-07-31;UTIL;3456.00
2012-08-01;ICON;1972.00
